age,income,family_size,employed,education,marital_status,race,hicoverage
85,8565,1,5,39,1,1,1
85,23641,1,5,39,1,1,1
15,0,0,7,34,7,1,1
53,10801,1,6,39,1,1,1
52,40037,1,1,40,1,1,1
68,9648,1,6,34,4,1,1
14,0,1,0,0,7,1,2
73,16563,0,5,39,5,1,1
72,35987,0,5,39,7,1,1
62,100,1,7,39,1,1,1
63,61730,1,1,39,1,1,1
32,9605,1,6,39,7,1,1
58,54000,1,5,39,1,1,1
55,0,1,5,39,1,1,2
57,43006,1,1,39,1,1,1
57,37001,1,1,39,1,1,1
23,20000,1,1,39,7,1,1
72,22381,0,5,41,5,1,1
56,0,0,7,41,5,1,1
79,20674,0,6,39,7,1,1
71,13979,0,5,35,5,1,1
58,82006,1,1,41,5,1,1
80,25272,1,5,35,4,1,1
80,13980,1,5,40,4,1,1
61,48000,1,1,40,5,1,1
51,16403,1,6,39,1,1,1
60,20003,1,6,39,1,1,1
37,25579,1,1,39,1,7,1
41,5001,1,1,39,1,7,1
13,0,1,0,0,7,7,1
85,26075,0,5,40,4,1,1
41,72008,1,1,44,6,1,1
10,0,1,0,0,7,1,1
8,0,1,0,0,7,1,1
42,15005,1,6,43,7,1,1
2,0,1,0,0,7,1,1
57,42001,0,1,39,5,1,1
54,30001,1,1,39,5,1,1
29,30001,1,1,39,7,1,1
26,9000,0,6,39,7,1,1
5,0,0,0,0,7,1,1
56,74013,1,1,39,1,1,1
54,32503,1,1,40,1,1,1
69,36050,1,5,43,1,1,1
68,6428,1,5,44,1,1,1
37,25000,2,3,44,7,1,1
4,0,2,0,0,7,1,1
63,9216,0,5,32,7,13,1
45,25001,1,1,44,7,1,1
10,0,1,0,0,7,1,1
8,0,1,0,0,7,1,1
85,31813,1,5,39,1,1,1
80,18332,1,5,39,1,1,1
76,20094,0,5,39,5,1,1
85,5892,1,5,39,4,1,1
64,22344,1,5,39,5,1,1
77,15000,0,5,39,5,1,1
56,23509,1,1,43,1,1,1
56,64003,1,1,43,1,1,1
69,79945,1,1,43,1,1,1
76,63335,1,6,41,1,1,1
67,12348,1,5,39,1,1,1
59,40000,1,1,39,1,1,1
85,7908,0,5,44,5,1,1
35,80031,1,1,39,1,1,1
33,28148,1,1,43,1,1,1
4,0,1,0,0,7,1,1
2,0,1,0,0,7,1,1
80,82000,0,5,43,4,1,1
85,19980,1,5,34,1,1,1
80,8700,1,5,39,1,1,1
74,16800,0,4,40,7,1,1
71,12225,0,6,40,5,1,1
51,24419,1,6,39,1,1,1
65,11520,1,6,39,1,1,1
14,0,1,0,0,7,1,1
12,0,1,0,0,7,1,1
10,0,1,0,0,7,1,1
39,100002,1,2,43,1,1,1
39,55035,1,1,42,1,1,1
9,0,1,0,0,7,1,1
4,0,1,0,0,7,1,1
51,-1978,1,7,43,1,1,1
49,57002,1,1,43,1,1,1
11,0,1,0,0,7,1,1
80,30802,1,5,39,4,1,1
46,40000,1,1,39,5,1,1
16,0,1,7,35,7,1,1
55,70020,0,1,39,5,1,1
27,60200,1,1,40,1,1,1
25,500,1,7,43,1,1,1
0,0,1,0,0,7,1,1
61,4286,1,6,39,1,1,1
68,9733,1,6,34,1,1,1
46,35000,1,1,40,1,1,1
46,45600,1,7,41,1,1,1
20,11440,1,1,38,7,1,1
4,0,1,0,0,7,1,1
74,116869,0,1,39,5,1,1
76,94866,0,1,39,5,1,1
60,130000,1,1,46,1,1,1
64,115500,1,5,46,1,1,1
13,0,1,0,0,7,1,1
75,111597,0,5,44,6,1,1
33,50010,0,1,40,7,1,2
41,60405,0,1,41,7,1,2
74,80569,1,5,44,1,1,1
75,68699,1,5,43,1,1,1
70,91290,0,1,42,7,1,1
62,15012,0,6,42,5,1,1
80,0,0,5,37,7,1,1
85,79964,0,5,40,4,1,1
63,62200,1,5,39,1,1,1
50,19615,1,5,39,1,1,1
85,22884,2,5,43,1,1,1
80,10469,2,5,40,1,1,1
85,79390,0,5,40,4,1,1
64,5010,1,7,40,1,1,1
67,115001,1,1,40,1,1,1
72,57349,1,2,39,1,1,1
70,45620,1,1,43,1,1,1
59,41611,1,5,39,1,1,2
65,33701,1,5,37,1,1,2
75,37201,0,5,39,4,1,1
65,12074,1,5,39,1,1,1
69,48250,1,5,40,1,1,1
62,60000,1,1,42,1,1,1
68,70312,1,1,40,1,1,1
45,32542,1,1,40,7,1,1
13,0,1,0,0,7,1,1
38,50000,1,1,39,1,1,1
39,0,1,7,39,1,1,1
7,0,1,0,0,7,1,1
45,267000,1,1,42,1,1,1
48,65010,1,1,42,1,1,1
16,0,1,7,35,7,1,1
28,39057,1,1,39,1,1,1
29,26001,1,1,39,1,1,1
5,0,1,0,0,7,1,1
66,38086,1,1,39,5,1,1
34,35400,2,1,39,1,1,1
34,3865,2,7,39,1,1,1
8,0,2,0,0,7,1,1
55,5026,1,2,39,1,7,2
34,0,1,7,39,1,7,2
15,0,1,7,34,7,7,2
13,0,1,0,0,7,7,2
39,45607,1,1,43,1,1,1
38,12496,1,1,43,1,1,1
11,0,1,0,0,7,1,1
9,0,1,0,0,7,1,1
51,53000,1,1,39,1,1,2
49,30000,1,1,39,1,1,1
23,0,1,7,43,7,1,2
18,0,1,7,37,7,1,2
14,0,1,0,0,7,1,1
13,0,1,0,0,7,1,1
70,15122,1,5,39,1,1,1
63,30808,1,1,39,1,1,1
73,72100,0,5,41,4,1,1
65,33746,1,5,35,1,1,1
63,70100,1,1,39,1,1,1
71,8565,1,5,40,1,1,1
77,32500,1,5,39,1,1,1
69,12005,1,5,39,1,1,1
65,100255,1,1,39,1,1,1
55,85338,1,1,40,5,1,1
6,0,1,0,0,7,1,1
37,106148,0,1,39,5,1,1
80,25626,1,5,39,4,1,1
45,11600,1,6,39,7,1,1
43,30001,0,1,39,5,1,2
52,392971,0,1,46,6,1,1
71,41579,0,5,39,5,1,1
69,28801,0,5,39,5,1,1
80,27188,1,5,39,1,1,1
80,16220,1,5,39,1,1,1
71,6199,0,5,43,5,1,1
73,52517,0,5,44,4,1,1
53,21000,1,1,39,1,1,1
61,20000,1,1,40,1,1,1
61,22894,0,6,39,7,1,1
47,22560,0,6,36,7,1,1
43,22560,0,6,39,7,1,1
49,59061,1,2,43,1,1,1
38,38002,1,1,39,1,1,2
18,5003,1,7,37,7,1,2
16,9003,1,1,36,7,1,2
33,63020,0,1,40,7,1,1
73,12612,1,5,40,1,1,1
74,21084,1,5,40,1,1,1
38,301615,1,1,43,1,1,1
39,15929,1,1,41,1,1,1
47,20060,1,1,39,1,1,1
47,25080,1,1,39,1,1,1
18,0,1,7,37,7,1,1
69,83900,1,5,46,1,1,1
61,33010,1,5,43,1,1,1
62,0,1,7,39,1,1,1
61,40051,1,7,39,1,1,1
68,23280,0,5,40,5,1,1
73,21520,1,1,39,1,1,1
55,55224,1,1,42,1,1,1
29,20010,1,1,39,7,1,1
27,10969,1,6,39,7,1,1
43,38186,1,1,39,1,1,1
37,50010,1,1,40,1,1,1
13,0,1,0,0,7,1,1
13,0,1,0,0,7,1,1
33,30011,1,1,40,7,1,1
15,0,1,7,35,7,1,1
11,0,1,0,0,7,1,1
64,51001,1,5,40,1,1,1
61,157001,1,1,44,1,1,1
70,17020,1,5,39,1,1,1
58,45006,1,1,39,1,1,1
57,229600,1,1,46,1,1,1
57,116100,1,1,46,1,1,1
71,17390,1,5,39,1,1,1
64,3,1,5,39,1,1,1
54,151100,0,1,42,5,1,1
56,78408,0,1,40,5,1,1
72,23025,1,5,39,1,1,1
72,26514,1,5,40,1,1,1
47,65001,1,1,43,5,1,1
14,0,1,0,0,7,1,1
23,52500,0,1,43,7,8,1
67,60773,1,1,39,1,1,1
68,59213,1,1,43,1,2,1
64,20064,0,5,42,5,1,1
64,30918,0,1,44,5,1,1
56,43762,0,1,40,5,1,1
55,57205,0,1,44,5,1,1
52,28588,1,1,44,1,1,1
56,67303,1,1,43,1,1,1
27,10278,1,1,42,7,1,1
37,32680,1,2,41,1,1,1
36,45870,1,1,43,1,1,1
10,0,1,0,0,7,1,1
52,110470,1,1,44,1,1,1
51,145522,1,1,44,1,1,1
21,27751,1,7,40,7,1,1
17,4501,1,1,37,7,1,1
50,43044,1,1,40,1,1,1
45,12671,1,1,43,1,1,1
6,0,1,0,0,7,1,1
1,0,1,0,0,7,1,1
40,30002,1,1,44,5,1,1
11,0,1,0,0,7,1,1
7,0,1,0,0,7,1,1
6,0,1,0,0,7,1,1
35,33002,1,1,43,1,1,1
34,75000,1,1,40,1,2,1
6,0,1,0,0,7,6,1
44,109949,1,1,46,1,1,1
37,40305,1,1,44,1,1,1
58,72200,1,1,39,1,3,1
54,11160,1,6,39,1,1,1
59,19247,0,6,39,5,1,1
68,57982,0,6,40,7,3,1
80,22040,1,5,36,1,1,1
80,14041,1,5,36,1,1,1
78,57892,0,5,39,7,1,1
56,107552,1,1,42,1,1,1
54,88000,1,1,42,1,1,1
45,39705,1,1,39,1,1,1
44,31711,1,1,39,1,1,1
19,17025,1,1,39,7,1,1
17,4025,1,7,39,7,1,1
64,60500,1,5,39,1,1,1
68,34200,1,5,39,1,1,1
2,0,1,0,0,7,2,1
52,101105,1,1,43,5,1,1
32,40001,2,1,42,1,1,1
33,0,2,1,40,1,1,1
64,17880,1,6,39,1,1,1
66,24880,1,1,39,1,1,1
73,12873,0,5,39,5,1,1
63,42320,1,3,42,1,1,1
64,41183,1,5,39,1,1,1
85,27745,0,5,43,4,1,1
58,33008,1,5,44,1,1,1
57,87108,1,1,43,1,1,1
23,11378,1,1,43,7,1,1
74,25841,1,1,39,1,1,1
77,217584,1,1,44,1,1,1
75,56823,0,5,40,4,1,1
72,28704,0,5,40,5,1,1
85,22369,1,5,36,4,1,1
58,0,1,6,39,7,1,1
74,29262,0,5,39,4,1,1
80,33578,0,5,39,5,1,1
80,21889,0,5,39,4,1,1
72,16900,0,5,39,5,1,1
85,44844,0,5,38,4,1,1
36,40000,0,7,43,5,2,1
35,84212,1,1,44,1,4,1
35,275127,1,1,46,1,1,1
79,25605,1,6,39,1,1,1
80,20030,1,5,40,1,1,1
28,392,1,6,39,3,1,1
0,0,1,0,0,7,1,1
75,26488,0,5,39,4,1,1
60,75250,1,1,40,1,1,1
56,31300,1,2,43,1,1,1
68,92040,1,1,39,1,1,1
65,19067,1,5,39,1,1,1
64,10001,1,1,46,1,1,1
62,29000,1,1,39,1,1,1
58,277711,1,7,46,4,1,1
14,0,1,0,0,7,1,1
53,54951,1,1,39,1,1,1
55,65655,1,1,39,1,1,1
72,199512,1,1,44,1,1,1
69,20113,1,5,43,1,1,1
34,32100,0,1,40,7,1,1
75,104100,1,1,43,1,1,1
64,38650,1,1,43,1,1,1
74,65601,1,5,43,1,1,1
76,64311,1,5,43,1,1,1
37,1,1,7,43,1,1,1
32,201612,1,1,43,1,1,1
1,0,1,0,0,7,1,1
0,0,1,0,0,7,1,1
50,352088,1,1,44,1,1,1
46,34085,1,1,42,1,1,1
7,0,1,0,0,7,1,1
69,29629,0,5,39,4,1,1
43,12465,1,1,42,5,1,1
15,12432,1,6,36,7,1,1
49,93801,0,7,41,5,3,1
58,85105,0,1,44,5,1,1
